path,bytes,MB,ext,top,prefix2,is_archive
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/hono/bcc81b1fc062/output_llm-oriented_hono_20260123_030818.json,2410923,2.410923,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/preact/60db6f4f1276/output_llm-oriented_preact_20260123_030836.json,2368901,2.368901,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/preact/60db6f4f1276/output_llm-oriented_preact_20260123_030018.json,2368901,2.368901,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/preact/60db6f4f1276/output_llm-oriented_preact_20260123_025341.json,2368901,2.368901,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/gson/286843d4a90a/output_llm-oriented_gson_20260123_031250.json,2190290,2.19029,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/gson/286843d4a90a/output_llm-oriented_gson_20260123_030440.json,2190290,2.19029,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/gson/286843d4a90a/output_llm-oriented_gson_20260123_025405.json,2190290,2.19029,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/cobra/61968e893eee/output_llm-oriented_cobra_20260123_025346.json,1763953,1.763953,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/cobra/61968e893eee/output_llm-oriented_cobra_20260123_030045.json,1763953,1.763953,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/cobra/61968e893eee/output_llm-oriented_cobra_20260123_030902.json,1763953,1.763953,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-22/repos/cobra/61968e893eee/output_llm-oriented_cobra_20260122_151844.json,1745194,1.745194,.json,standard-model-of-code,standard-model-of-code/artifacts,False
.agent/intelligence/chunks/core_chunks.json,1489146,1.489146,.json,.agent,.agent/intelligence,False
context-management/registry/REGISTRY.json,1271492,1.271492,.json,context-management,context-management/registry,False
