Path,Filename,Extension,Category,SizeBytes,SizeKB,LineCount,Created,Modified
.tools_venv/lib/python3.14/site-packages/dateutil/tz/win.py,win.py,.py,Code (Python),12935,12.63,370,2026-01-18T17:41:45.903932,2026-01-18T17:41:45.903932
.tools_venv/lib/python3.14/site-packages/dateutil/tzwin.py,tzwin.py,.py,Code (Python),59,0.06,2,2026-01-18T17:41:45.902684,2026-01-18T17:41:45.902684
.tools_venv/lib/python3.14/site-packages/dateutil/utils.py,utils.py,.py,Code (Python),1965,1.92,71,2026-01-18T17:41:45.902754,2026-01-18T17:41:45.902754
.tools_venv/lib/python3.14/site-packages/dateutil/zoneinfo/__init__.py,__init__.py,.py,Code (Python),5889,5.75,167,2026-01-18T17:41:45.904060,2026-01-18T17:41:45.904060
.tools_venv/lib/python3.14/site-packages/dateutil/zoneinfo/dateutil-zoneinfo.tar.gz,dateutil-zoneinfo.tar.gz,.gz,Other,156400,152.73,0,2026-01-18T17:41:45.904455,2026-01-18T17:41:45.904455
.tools_venv/lib/python3.14/site-packages/dateutil/zoneinfo/rebuild.py,rebuild.py,.py,Code (Python),2392,2.34,75,2026-01-18T17:41:45.904554,2026-01-18T17:41:45.904554
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/INSTALLER,INSTALLER,,Other,4,0.0,0,2026-01-18T17:41:45.842295,2026-01-18T17:41:45.842225
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/LICENSE,LICENSE,,Other,11325,11.06,0,2026-01-18T17:41:45.838207,2026-01-18T17:41:45.838207
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/METADATA,METADATA,,Other,6791,6.63,0,2026-01-18T17:41:45.838299,2026-01-18T17:41:45.838299
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/RECORD,RECORD,,Other,1077,1.05,0,2026-01-18T17:41:45.842528,2026-01-18T17:41:45.842452
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/WHEEL,WHEEL,,Other,92,0.09,0,2026-01-18T17:41:45.838376,2026-01-18T17:41:45.838376
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/entry_points.txt,entry_points.txt,.txt,Other,46,0.04,0,2026-01-18T17:41:45.838458,2026-01-18T17:41:45.838458
.tools_venv/lib/python3.14/site-packages/distro-1.9.0.dist-info/top_level.txt,top_level.txt,.txt,Other,7,0.01,0,2026-01-18T17:41:45.838542,2026-01-18T17:41:45.838542
.tools_venv/lib/python3.14/site-packages/distro/__init__.py,__init__.py,.py,Code (Python),981,0.96,54,2026-01-18T17:41:45.837745,2026-01-18T17:41:45.837745
.tools_venv/lib/python3.14/site-packages/distro/__main__.py,__main__.py,.py,Code (Python),64,0.06,4,2026-01-18T17:41:45.837844,2026-01-18T17:41:45.837844
.tools_venv/lib/python3.14/site-packages/distro/distro.py,distro.py,.py,Code (Python),49430,48.27,1403,2026-01-18T17:41:45.837987,2026-01-18T17:41:45.837987
.tools_venv/lib/python3.14/site-packages/distro/py.typed,py.typed,.typed,Other,0,0.0,0,2026-01-18T17:41:45.838043,2026-01-18T17:41:45.838028
.tools_venv/lib/python3.14/site-packages/docstring_parser-0.17.0.dist-info/INSTALLER,INSTALLER,,Other,4,0.0,0,2026-01-18T17:41:45.836606,2026-01-18T17:41:45.836440
.tools_venv/lib/python3.14/site-packages/docstring_parser-0.17.0.dist-info/METADATA,METADATA,,Other,3499,3.42,0,2026-01-18T17:41:45.819670,2026-01-18T17:41:45.819670
.tools_venv/lib/python3.14/site-packages/docstring_parser-0.17.0.dist-info/RECORD,RECORD,,Other,3241,3.17,0,2026-01-18T17:41:45.836997,2026-01-18T17:41:45.836885
.tools_venv/lib/python3.14/site-packages/docstring_parser-0.17.0.dist-info/WHEEL,WHEEL,,Other,87,0.08,0,2026-01-18T17:41:45.819827,2026-01-18T17:41:45.819827
.tools_venv/lib/python3.14/site-packages/docstring_parser-0.17.0.dist-info/licenses/LICENSE.md,LICENSE.md,.md,Documentation,1084,1.06,21,2026-01-18T17:41:45.820024,2026-01-18T17:41:45.820024
.tools_venv/lib/python3.14/site-packages/docstring_parser/__init__.py,__init__.py,.py,Code (Python),695,0.68,34,2026-01-18T17:41:45.817190,2026-01-18T17:41:45.817190
.tools_venv/lib/python3.14/site-packages/docstring_parser/attrdoc.py,attrdoc.py,.py,Code (Python),4126,4.03,126,2026-01-18T17:41:45.817417,2026-01-18T17:41:45.817417
.tools_venv/lib/python3.14/site-packages/docstring_parser/common.py,common.py,.py,Code (Python),6320,6.17,229,2026-01-18T17:41:45.817600,2026-01-18T17:41:45.817600
